Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Upper middle income,UMC,1.440561877,1.323485117,1.319735786,1.359514694,1.421468823,1.500358729,1.442992115,1.540250083,1.698448378,1.938094082,2.072451177,2.14089232,2.242776141,2.269312377,2.41232489,2.507899797,2.633580836,2.827806005,2.872510616,2.833747089,2.784961655,2.91931928,2.970948638,3.090383945,3.217547424,3.298171303,3.427416035,3.544506153,3.566880124,3.554047261,3.620874958,3.670476645,3.635360465,3.595031453,3.675825344,3.718806272,3.668265096,3.55623695,3.512567494,3.554533583,3.590923754,3.666859948,4.078789244,4.442277174,4.673727301,4.977659413,5.176320108,5.314736182
World,WLD,3.061737098,3.132563365,3.236787491,3.352937309,3.431653876,3.530306185,3.568866716,3.674960647,3.814853143,4.005962947,4.065943627,4.150281515,4.292224833,4.216816042,4.113532119,4.277378948,4.342883991,4.317999406,4.478365637,4.355947112,4.14720464,4.042166115,3.955425685,4.030014333,4.077856408,4.128567176,4.158318866,4.232986279,4.242747933,4.21261177,4.203458564,4.098200246,4.031530019,4.04608912,4.07546439,4.099614055,4.116808902,4.084871433,3.99817616,4.045720719,4.09334122,4.081229364,4.272174924,4.44073761,4.559513116,4.653026332,4.704862682,4.762013892
Afghanistan,AFG,0.049835861,0.068552416,0.0689712,0.080167139,0.094263096,0.099999414,0.114966817,0.107332893,0.080707357,0.139754713,0.154471066,0.121712242,0.126913331,0.145028088,0.157480513,0.143530486,0.168398594,0.148372087,0.150115015,0.115019156,0.126699689,0.131154208,0.153909477,0.168788766,0.20449726,0.179392614,0.174707475,0.157082149,0.148958103,0.14071464,0.12677737,0.07014534,0.065402881,0.060727373,0.056451371,0.051839219,0.046827027,0.043105014,0.033012123,0.030098129,0.024174312,0.013084257,0.020634867,0.024220736,0.023420762,0.022656662,0.022612658,0.02503483
Albania,ALB,1.373062647,1.438909985,1.18036057,1.109929129,1.16288687,1.32721856,1.356471201,1.514278224,1.558384402,1.75314139,1.988773445,2.517601309,2.306080247,1.850989114,1.913840839,2.017088689,2.280885445,2.534719086,2.899650682,1.935563209,2.694038852,2.631175133,2.694874283,2.706802896,2.664641119,2.655903472,2.388956515,2.293270991,2.759379322,2.276349809,1.206479033,0.730709955,0.726599979,0.60666054,0.664264643,0.647963742,0.499306576,0.569277342,0.973817052,0.986029944,1.049798562,1.214113441,1.381011562,1.281453479,1.464792476,1.340590704,1.413737414,1.312855013
Algeria,DZA,0.55105067,0.505732416,0.475197763,0.484847109,0.553294632,0.689332325,0.671413592,0.699948523,0.845347801,1.096670604,1.317862719,1.941664208,2.545301069,2.055287647,1.999678803,2.369208779,2.454375889,3.547832605,2.505903556,3.536158434,2.388533981,1.954149625,2.534590741,3.317449623,3.293750632,3.352329537,3.595148743,3.492731567,3.244957779,3.118500235,3.141418388,3.097443596,3.035509439,3.111608533,3.347034849,3.354544218,3.015944579,3.608585672,3.060522821,2.879789454,2.720700625,2.889575447,2.899499841,2.76247075,3.257305871,3.213461363,3.325072357,3.232960395
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.291240977,6.521409846,7.062244819,7.534227812,8.023442994,8.113082898,7.898493749,7.701215185,7.414955057,7.500371885,7.391626438,6.840561384,6.623037228,6.527834627
Angola,AGO,0.08997539,0.229406442,0.219652718,0.229485393,0.218758694,0.281459571,0.176911908,0.292684464,0.479240732,0.604532179,0.563898623,0.729283612,0.772006838,0.752679003,0.665178438,0.482553148,0.505721612,0.753284674,0.743783133,0.699946586,0.668130346,0.567612827,0.602408922,0.570083122,0.518566196,0.499944436,0.608175893,0.523500053,0.498292824,0.428612841,0.409948923,0.401596941,0.510140831,0.331320808,0.909698925,0.842489254,0.577043014,0.556263023,0.677678139,0.68514135,0.676400678,0.850598712,0.587863652,1.177717193,1.161767457,1.308967955,1.435174111,1.351088294
Antigua and Barbuda,ATG,0.860363124,1.821723856,1.467514616,1.563006155,2.512315353,5.707907327,9.075274001,15.6163152,19.49201897,7.044719228,6.391381435,5.547901927,4.840427092,6.23168429,10.19491501,5.769846946,6.624500363,6.966639729,5.771527827,2.036409979,1.527060986,4.263767568,1.24411435,2.19906748,3.800347487,3.863648337,4.330420406,4.564074742,4.599080268,4.834153243,4.674761768,4.597974985,4.721603973,4.659466328,4.701145072,4.580496806,4.664749316,4.497870333,4.584654866,4.438781292,4.354171667,4.509334592,4.756742866,4.91365074,4.894227561,5.007204068,5.077942631,5.149273144
Argentina,ARG,2.44169262,2.521250963,2.315147889,2.536929179,2.6401459,2.791016378,2.856575574,2.968339865,3.274327432,3.449677647,3.648630633,3.636532907,3.729484273,3.725297431,3.640180805,3.766559986,3.746997984,3.759269173,3.994797561,3.865393921,3.572690197,3.566216821,3.572862689,3.562662161,3.314094209,3.382315638,3.675818799,3.828439103,3.637814884,3.44991254,3.536072783,3.620968686,3.49034762,3.583651498,3.515906196,3.661896228,3.77091353,3.810023855,3.98150323,3.82004104,3.765785539,3.489544004,3.745910181,4.042704167,4.10856488,4.497974674,4.666922195,4.844052739
