Country Name,Country Code,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Upper middle income,UMC,1704166.484,1588454.343,1621587.043,1708632.877,1827595.516,1976605.597,1945503.054,2125426.449,2400360.542,2805651.22,3072928.145,3246040.683,3473726.639,3585994.073,3882463.597,4105951.894,4381251.118,4779368.798,4932077.08,4940881.923,4932014.514,5256138.525,5437013.203,5744431.902,6076194.74,6331262.163,6691219.837,7035842.978,7192703.415,7274131.147,7514534.833,7713900.507,7731508.241,7735257.221,7999332.878,8183087.922,8160729.768,7995635.254,7976556.54,8150667.682,8307248.123,8552318.432,9588265.784,10522513.8,11154165.57,11966282.51,12532340.09,12958632.71
World,WLD,9434402.595,9818839.874,10355747.35,10947007.09,11433441.98,12009447,12389685.57,13017193.61,13797116.84,14788798.31,15323175.56,15957192.52,16825776.48,16850822.09,16745791.87,17726098.32,18316474.32,18535291.54,19567247.68,19368760.3,18766979.93,18621308.36,18546065.19,19224955.23,19793703.26,20396015.35,20910777.81,21663799.92,22090275.69,22310882.41,22627267.5,22399312.12,22370584.84,22783786.07,23290125.43,23762167.33,24198533,24341546,24143528,24752250,25360972,25599327,27124799,28536594,29651362,30619450,31327181,32082583
Afghanistan,AFG,491.378,689.396,707.731,839.743,1008.425,1092.766,1283.45,1224.778,942.419,1672.152,1895.839,1532.806,1639.149,1917.841,2126.86,1987.514,2390.884,2159.863,2240.537,1760.16,1983.847,2101.191,2522.896,2830.924,3509.319,3142.619,3124.284,2867.594,2775.919,2676.91,2493.56,1426.463,1375.125,1320.12,1268.782,1199.109,1114.768,1056.096,832.409,781.071,645.392,359.366,583.053,704.064,700.397,696.73,715.065,814.074
Albania,ALB,2280.874,2464.224,2082.856,2016.85,2174.531,2552.232,2680.577,3072.946,3245.295,3744.007,4352.729,5643.513,5291.481,4345.395,4594.751,4950.45,5720.52,6494.257,7587.023,5170.47,7341.334,7308.331,7631.027,7825.378,7880.383,8056.399,7444.01,7326.666,8984.15,7488.014,3971.361,2387.217,2343.213,1928.842,2086.523,2016.85,1543.807,1752.826,2992.272,3028.942,3230.627,3751.341,4290.39,4004.364,4602.085,4231.718,4481.074,4176.713
Algeria,DZA,6065.218,5669.182,5427.16,5650.847,6596.933,8430.433,8441.434,9061.157,11276.025,15075.037,18668.697,28349.577,38312.816,31906.567,32031.245,39170.894,41891.808,62529.684,45621.147,66519.38,46438.888,39269.903,52625.117,71103.13,72786.283,76277.267,84120.98,83948.631,80046.943,78895.505,81458.738,82261.811,82474.497,86350.516,94692.941,96566.778,88195.017,107080.067,92118.707,87930.993,84293.329,90853.592,92533.078,89493.135,107127.738,107303.754,112741.915,111304.451
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407.037,425.372,458.375,484.044,513.38,524.381,524.381,531.715,535.382,564.718,575.719,546.383,539.049,539.049
Angola,AGO,454.708,1180.774,1151.438,1224.778,1188.108,1554.808,993.757,1672.152,2786.92,3582.659,3410.31,4506.743,4880.777,4873.443,4415.068,3285.632,3534.988,5412.492,5504.167,5346.486,5280.48,4649.756,5115.465,5009.122,4701.094,4660.757,5815.862,5130.133,5009.122,4429.736,4367.397,4418.735,5801.194,3890.687,11012.001,10491.287,7381.671,7308.331,9156.499,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,24370.882
Antigua and Barbuda,ATG,47.671,102.676,84.341,91.675,150.347,348.365,564.718,990.09,1257.781,462.042,425.372,374.034,330.03,429.039,707.731,403.37,465.709,491.378,407.037,143.013,106.343,293.36,84.341,146.68,249.356,249.356,275.025,286.026,286.026,300.694,293.36,293.36,308.028,311.695,322.696,322.696,337.364,333.697,348.365,344.698,344.698,363.033,388.702,407.037,410.704,425.372,436.373,447.374
Argentina,ARG,51180.319,53695.881,50083.886,55727.399,58866.351,63138.406,65543.958,69082.613,77329.696,82734.854,88939.418,90156.862,94065.884,95569.354,94931.296,99786.404,100791.162,102639.33,110703.063,108737.551,102041.609,103424.068,105213.564,106522.683,100596.811,104212.473,114942.115,121473.042,117090.977,112613.57,117021.304,121447.373,118609.115,123350.546,122547.473,129217.746,134677.909,137673.848,145488.225,141076.824,140471.769,131406.945,142349.273,155000.423,158924.113,175528.289,183727.701,192378.154
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3681.668,2929.933,2966.603,3490.984,2607.237,3278.298,3406.643,3058.278,3465.315,3542.322,3003.273,3428.645,3644.998,4349.062,4378.398,5056.793,5548.171
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,179.683,447.374,612.389,649.059,1840.834,1928.842,1723.49,1771.161,1763.827,1785.829,1811.498,1851.835,1668.485,1686.82,2233.203,2236.87,2255.205,2255.205,2258.872,2273.54,2273.54,2357.881,2288.208
Australia,AUS,90589.568,94912.961,101029.517,108979.573,120966.996,120332.605,129265.417,134622.904,142257.598,147618.752,152774.554,157486.649,170992.21,172356.334,175883.988,174244.839,187787.07,202015.03,205069.641,220746.066,230360.94,234119.615,225003.453,236594.84,241229.928,239964.813,256106.947,261145.405,277771.583,287331.452,281530.258,294456.433,302116.796,303957.63,307433.946,329259.93,333623.66,346912.868,325523.257,329604.628,324859.53,341397.7,346476.495,349223.078,367393.063,377381.971,380814.283,399218.956
Austria,AUT,31862.563,33905.082,36992.696,38943.54,38188.138,39258.902,39966.633,42350.183,44693.396,50692.608,52155.741,56193.108,60164.469,57469.224,54392.611,58415.31,56218.777,57483.892,61594.599,52306.088,56130.769,53868.23,51983.392,54550.292,54700.639,54080.916,57744.249,53340.182,54117.586,60960.208,65888.656,60531.169,58213.625,57586.568,60622.844,61055.55,61359.911,63549.11,61755.947,61788.95,63637.118,65118.586,72316.907,72118.889,74385.095,72126.223,68807.588,67725.823
Azerbaijan,AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44172.682,43285.268,42383.186,33586.053,31565.536,29966.724,31594.872,29299.33,30546.11,29438.676,30007.061,31162.166,32262.266,34491.802,39317.574,42236.506,47139.285
"Bahamas, The",BHS,546.383,726.066,707.731,1085.432,1316.453,1092.766,1705.155,1631.815,1745.492,2574.234,6732.612,6490.59,7873.049,7389.005,8254.417,6464.921,9717.55,6607.934,6930.63,7990.393,2801.588,2262.539,2016.85,1855.502,1510.804,1411.795,1422.796,1540.14,1947.177,1950.844,1782.162,1793.163,1716.156,1719.823,1730.824,1730.824,1741.825,1793.163,1796.83,1796.83,1796.83,2082.856,1870.17,2009.516,2108.525,2137.861,2148.862,2156.196
Bahrain,BHR,1771.161,1591.478,1195.442,1598.812,1228.445,649.059,1004.758,1103.767,1272.449,2592.569,3039.943,3681.668,5522.502,5405.158,5753.523,6574.931,7469.679,7766.706,8133.406,7887.717,8525.775,9838.561,8228.748,9207.837,10194.26,11012.001,11430.039,12163.439,11738.067,11884.747,11503.379,10590.296,15141.043,15254.72,16021.123,15621.42,17319.241,18404.673,18019.638,18643.028,13927.266,15698.427,16468.497,17275.237,18595.357,20186.835,21481.286,22478.71
Bangladesh,BGD,,,,,,,,,,,,3509.319,4554.414,4660.757,4869.776,5570.173,5812.195,6017.547,6648.271,7638.361,7931.721,8599.115,8236.082,9123.496,10234.597,11463.042,11862.745,13545.898,13454.223,15533.412,15940.449,17748.28,17407.249,18969.391,22816.074,24029.851,25063.945,24040.852,25232.627,27865.533,32449.283,33699.73,33824.408,39735.612,37652.756,46644.24,46930.266,46526.896
Barbados,BRB,194.351,260.357,190.684,179.683,205.352,267.691,337.364,440.04,480.377,429.039,484.044,502.379,480.377,491.378,568.385,531.715,590.387,630.724,601.388,674.728,685.729,645.392,685.729,748.068,847.077,916.75,942.419,946.086,990.09,1074.431,1206.443,979.089,1114.768,748.068,828.742,850.744,902.082,1140.437,1210.11,1188.108,1221.111,1228.445,1268.782,1294.451,1353.123,1371.458,1349.456,1353.123
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87487.286,74451.101,65914.325,62118.98,60157.135,59519.077,57597.569,55819.074,53468.527,52595.781,52390.429,53721.55,58220.959,59042.367,61807.285,60256.144,62815.71
Belgium,BEL,92793.435,98117.919,105781.949,103662.423,105440.918,105206.23,107472.436,118557.777,123618.237,125620.419,121528.047,130834.893,138872.957,135220.625,122100.099,130009.818,126570.172,135855.016,140233.414,135293.965,124014.273,117553.019,101623.571,105415.249,104447.161,102866.684,103116.04,100354.789,107461.435,108469.86,117578.688,114373.73,108924.568,113306.633,112976.603,119624.874,116295.238,119184.834,115844.197,115712.185,114766.099,107531.108,114835.772,111282.449,107116.737,106816.043,102529.32,104879.867
Belize,BLZ,36.67,69.673,62.339,84.341,84.341,80.674,121.011,102.676,135.679,121.011,143.013,157.681,146.68,154.014,176.016,176.016,198.018,216.353,209.019,190.684,183.35,172.349,172.349,172.349,190.684,205.352,227.354,249.356,300.694,311.695,359.366,355.699,377.701,374.034,377.701,308.028,388.702,370.367,601.388,689.396,711.398,359.366,374.034,381.368,396.036,407.037,425.372,425.372
