gsa_building_no,address,city,state,zipcode,latitude,longitude,costar_number,bldg_rsf,total_leased_rsf,percent_govt_leased,total_annual_rent,rent_prsf,remaining_total_term,remaining_firm_term
MN1600,30 7TH ST E,SAINT PAUL,MN,55101-4914,44.948521,-93.095549,1039601,640000,113126,17.68,2912155.84,25.74,3.43,0
VA1450,1411-1421 JEFFERSON DAVIS DRIVE,ARLINGTON,VA,22202-3231,38.855662,-77.056036,137596,278332,76512,27.49,2900451.08,37.91,1.99,1.99
FL3210,2895 SW 145TH AVENUE,MIRAMAR,FL,33027-6600,25.982512,-80.33994,7549734,69554,69554,100,2898168.5,41.67,7.5,7.5
VA0023,1000 FALLS RUN DRIVE,STAFFORD,VA,22406-1107,38.351283,-77.4965,1528572,164898,164898,100,2896699.3,17.57,6.75,6.75
IN1891,8825 Nelson B. Klein Parkway,INDIANAPOLIS,IN,46250-3512,,,GSA,110531,110531,100,2895912,26.2,14.35,14.35
DC0043,"1200 1 ST STREET, NE",WASHINGTON,DC,20002-3361,38.906352,-77.005889,889980,291838,61100,20.94,2889998.25,47.3,4.63,4.63
CA8207,100 1ST ST,SAN FRANCISCO,CA,94105-2634,37.7897332,-122.39761,GSA,478428,83677,17.49,2881670.35,34.44,14.22,6.17
GA2308,245 PEACHTREE CENTER AVE,ATLANTA,GA,30303-1222,33.761211,-84.385999,441026,460437,133303,28.95,2881598.85,21.62,6.34,3.84
MD0800,GOOD LUCK ROAD,LANHAM,MD,20706-3707,38.996176,-76.833855,1371,142810,142810,100,2881458.01,20.18,3.68,3.68
DC0534,"1325 G ST, NW",WASHINGTON,DC,20005-3104,38.898267,-77.030155,94482,206563,60860,29.46,2879412.04,47.31,1.98,1.94
CO1908,2150 CENTRE AVENUE,FORT COLLINS,CO,80526-8119,40.55916113,-105.082691,7918131,181346,99371,54.8,2877230.06,28.95,11.55,1.54
UT1428,2262 WALL AVENUE,OGDEN,UT,84401-1306,41.22627,-111.9787248,1071522,135206,135206,100,2876299,21.27,10.59,10.59
MO1747,6000 E GEOSPACE DRIVE,INDEPENDENCE,MO,64056-1710,39.101255,-94.372719,77364,4500000,652423,14.5,2874097.76,4.41,6.2,4.48
