estado,codigo_municipio,municipio,candidato,partido
PORTUGUESA,1,ARAURE,RUBEN TROCONIS,ABP
PORTUGUESA,1,ARAURE,JORGE LUIS ROJAS,AD
PORTUGUESA,1,ARAURE,GUALBERTO MORA,CausaR
PORTUGUESA,1,ARAURE,AUBER INFANTE,MIN UNIDAD
PORTUGUESA,1,ARAURE,LORENZO PIÑA,MPJ
PORTUGUESA,1,ARAURE,GIOVANNY GIMENEZ M,UNTC
PORTUGUESA,1,ARAURE,VICTOR HUGO GONZALEZ,VPA
PORTUGUESA,2,ESTELLER,ORACIO GONZALEZ,AD
PORTUGUESA,2,ESTELLER,OMAR ZABALA,COPEI
PORTUGUESA,2,ESTELLER,HENRY JOSÉ CAMACHO,MAS
PORTUGUESA,2,ESTELLER,RAFAELBRICEÑO,UNTC
PORTUGUESA,4,GUANARITO,SOLI DAZA,AD
PORTUGUESA,4,GUANARITO,LUIS DURAN,COPEI
PORTUGUESA,4,GUANARITO,VALMOREBETANCOURT,MPJ
PORTUGUESA,4,GUANARITO,ELIZABETH HILBL,VPA
PORTUGUESA,9,MONSEÑOR JOSÉ VICENTE DE UNDA,HITALO FUENTES,ABP
PORTUGUESA,9,MONSEÑOR JOSÉ VICENTE DE UNDA,EDUARDOBARRIOS,AD
PORTUGUESA,5,OSPINO,NELSON MARIN,ABP
PORTUGUESA,5,OSPINO,LUIS ARGUELLES,AD
PORTUGUESA,5,OSPINO,MADELEYNE ZAMORA,COPEI
PORTUGUESA,5,OSPINO,LORENZO JIMENEZ,MPJ
PORTUGUESA,5,OSPINO,RAFAEL ARIAS,UNTC
PORTUGUESA,6,PÁEZ,RICARDO TORRELLES,ABP
PORTUGUESA,6,PÁEZ,ELIASBITTAR,AD
PORTUGUESA,6,PÁEZ,HECTOR DANIEL LAMEDA,COPEI
PORTUGUESA,6,PÁEZ,PEDRO CARDENAS,MIN UNIDAD
PORTUGUESA,6,PÁEZ,LUIS SIRA,MPJ
PORTUGUESA,6,PÁEZ,LOURDES DE ARIEMMA,PRVZL
PORTUGUESA,6,PÁEZ,HECTOR GARCIA,VPA
PORTUGUESA,11,PAPELÓN,CARLOS ORAA,COPEI
PORTUGUESA,11,PAPELÓN,FELIX FERRER,UNTC
PORTUGUESA,14,SANTA ROSALÍA,MARCOSBARRIENTOS,AD
PORTUGUESA,14,SANTA ROSALÍA,BELKIS GUTIERREZ,COPEI
PORTUGUESA,7,SUCRE,FRANCISCO COLINA,AD
PORTUGUESA,7,SUCRE,NELSON ALGOMEDA,MPJ
PORTUGUESA,7,SUCRE,JOBITO VILLEGAS,VPA
PORTUGUESA,7,TURÉN,LUIS ROMERO,AD
PORTUGUESA,7,TURÉN,EDISON PEREZ,COPEI
PORTUGUESA,7,TURÉN,CRISTINA PENSA,PRVZL
PORTUGUESA,12,SAN GENARO DE BOCONOITO,JOHAM QUIÑONES,PODEMOS
PORTUGUESA,12,SAN GENARO DE BOCONOITO,ERICK AMUNDARAY,UNTC
PORTUGUESA,13,SAN RAFAEL DE ONOTO,ADALBERTO ROJAS,AD
PORTUGUESA,13,SAN RAFAEL DE ONOTO,EDGAR MIRANDA,COPEI
PORTUGUESA,13,SAN RAFAEL DE ONOTO,JOSÉ COLMENAREZ,MPJ
PORTUGUESA,13,SAN RAFAEL DE ONOTO,GONZALO  CARRASCO,UNTC
SUCRE,9,SUCRE,LILIENA VARGAS,Iniciativa Propia
SUCRE,9,SUCRE,SAEL ASTUDILLO,Iniciativa Propia
SUCRE,9,SUCRE,RUBEN DIAZ,Iniciativa Propia
SUCRE,9,SUCRE,ASDRUBAL MAESTRE,Iniciativa Propia
SUCRE,9,SUCRE,ROBERT ALCALÁ,AD
SUCRE,9,SUCRE,LUIS MARTÍNEZ,ML
SUCRE,9,SUCRE,HERMES GARCIA,PODEMOS
SUCRE,9,SUCRE,JESÚS YEGÜEZ,SI
SUCRE,9,SUCRE,J GREGORIO NORIEGA,VPA
SUCRE,11,ANDRÉS ELOY BLANCO,ENRIQUE HERRERA M.,Iniciativa Propia
SUCRE,11,ANDRÉS ELOY BLANCO,OLGA DE CARABALLO,Iniciativa Propia
SUCRE,11,ANDRÉS ELOY BLANCO,CATALINO GONZALEZ,ABP
SUCRE,11,ANDRÉS ELOY BLANCO,RICHARD RAMIREZ,AD
SUCRE,11,ANDRÉS ELOY BLANCO,EUDOMAR TINEO,MOVEV
SUCRE,11,ANDRÉS ELOY BLANCO,F JAVIERBELLORIN,PODEMOS
SUCRE,13,ANDRÉS MATA,CARLOS MENESES,CausaR
SUCRE,13,ANDRÉS MATA,JAIRO CARABALLO,PPT
SUCRE,13,ANDRÉS MATA,TERESA DE YAÑEZ,U.R.D.
SUCRE,13,ANDRÉS MATA,JOSÉ JIMÉNEZ,UNTC
SUCRE,13,ANDRÉS MATA,NESTOR TOUSSAINTT,VPA
SUCRE,2,BENÍTEZ,LUIS GUEVARA,AD
SUCRE,2,BENÍTEZ,ARMANDO GUZMÁN,ASIS
SUCRE,2,BENÍTEZ,LEVIT SALAS,PODEMOS
SUCRE,2,BENÍTEZ,LUIS ALIENDRES,UNTC
SUCRE,3,BERMÚDEZ,EDGAR GARCÍA PEÑA,Iniciativa Propia
SUCRE,3,BERMÚDEZ,JOSÉ GONZÁLEZ UGAS,ABP
SUCRE,3,BERMÚDEZ,JOSÉ RAMÓN REGNAULT,PODEMOS
SUCRE,3,BERMÚDEZ,MARIO FERRIGNO,UNTC
SUCRE,14,BOLÍVAR,RAFAEL NAVARRO,AD
SUCRE,14,BOLÍVAR,HÉCTOR GARCÍA,PODEMOS
SUCRE,14,BOLÍVAR,LUIS DANIEL CABEZA,VPA
SUCRE,4,CAJIGAL,MIRIAN MORENO,Iniciativa Propia
SUCRE,4,CAJIGAL,ESLY TORRES,ASIS
SUCRE,4,CAJIGAL,JOSÉ LUIS SUBERO,PODEMOS
SUCRE,15,CRUZ SALMERÓN ACOSTA,LUIS RAMÓN NORIEGA,AD
SUCRE,15,CRUZ SALMERÓN ACOSTA,LUIS A. MARTÍNEZ,COPEI
SUCRE,15,CRUZ SALMERÓN ACOSTA,PABLO ERNESTO ROSAS,MAS
SUCRE,12,LIBERTADOR,ALFREDO CARABALLO,AD
SUCRE,12,LIBERTADOR,LILIAN GUILARTE,ASIS
SUCRE,5,MARIÑO,JOSÉ NORIEGA,Iniciativa Propia
SUCRE,5,MARIÑO,ANTONIO VILLEGAS,Iniciativa Propia
SUCRE,5,MARIÑO,RAFAEL SANTAMARÍA,AD
SUCRE,5,MARIÑO,JESÚSBARCELÓ,PODEMOS
SUCRE,6,MEJÍA,MARIA NELYS PATIÑO,ABP
SUCRE,6,MEJÍA,ARMANDO RODRÍGUEZ,COPEI
SUCRE,6,MEJÍA,MANUEL MORENO,PODEMOS
SUCRE,6,MEJÍA,RÓMULO MARCANO,VPA
SUCRE,7,MONTES,JOSÉ LUIS ABREUB.,Iniciativa Propia
SUCRE,7,MONTES,JULIO SANCHEZ,Iniciativa Propia
SUCRE,7,MONTES,FERNANDO HEDUEN,ABP
SUCRE,7,MONTES,CARMEN VILLAFRANCA,AD
SUCRE,7,MONTES,JOSÉ JREIGE,ASIS
SUCRE,7,MONTES,JESÚS AMARO,COPEI
SUCRE,7,MONTES,JUAN CARLOS YEGRES,UNTC
SUCRE,7,MONTES,FRANCISCO MARTELL,VPA
SUCRE,8,RIBERO,FRANCISCO VALDIVIEZO,AD
SUCRE,8,RIBERO,CARLOSBELLO,PODEMOS
SUCRE,8,RIBERO,LUCAS ZAPATA,UNTC
SUCRE,8,RIBERO,CRUZ GUZMÁN,VPA
SUCRE,10,VALDEZ,PEDRO JOSÉ RODRÍGUEZ,Iniciativa Propia
SUCRE,10,VALDEZ,HERNAN TOVAR,AD
SUCRE,10,VALDEZ,ANGEL GUILARTE,BR
SUCRE,10,VALDEZ,YENY TORTOLERO,PODEMOS
SUCRE,10,VALDEZ,JOSÉ LUIS MEDINA,UNTC
TÁCHIRA,8,SAN CRISTÓBAL,MIGUEL REYES,AD
TÁCHIRA,8,SAN CRISTÓBAL,ÁNGEL PERNIA,COPEI
TÁCHIRA,8,SAN CRISTÓBAL,MONICA GARCIA,MPJ
TÁCHIRA,8,SAN CRISTÓBAL,DANIEL CEBALLOS,VP
TÁCHIRA,18,ANDRÉS BELLO,CARLO JULIO LOPEZ,Iniciativa Propia
TÁCHIRA,18,ANDRÉS BELLO,FRANKLIN ALVIAREZ,AD
TÁCHIRA,18,ANDRÉS BELLO,VALMORE VELASCO,BR
TÁCHIRA,18,ANDRÉS BELLO,VICENTE COLMENARES,COPEI
TÁCHIRA,18,ANDRÉS BELLO,ALBERTO PÉREZ,PRVZL
TÁCHIRA,18,ANDRÉS BELLO,HUMBERTO CONTRERAS,UNTC
TÁCHIRA,23,ANTONIO RÓMULO COSTA,LAURA ESCALANTE,COPEI
TÁCHIRA,23,ANTONIO RÓMULO COSTA,WILSON GENRY ARCHILA,MPJ
TÁCHIRA,23,ANTONIO RÓMULO COSTA,NELSON RONDON,UNTC
TÁCHIRA,2,BOLÍVAR,RAMON VIVAS,Iniciativa Propia
TÁCHIRA,2,BOLÍVAR,DANNY ELEANOR ROJAS,Iniciativa Propia
TÁCHIRA,2,BOLÍVAR,JUAN CAMPERO,AD
TÁCHIRA,2,BOLÍVAR,WILLIAM SALINAS,MAS
TÁCHIRA,2,BOLÍVAR,SIMÓN VARGAS,UNTC
TÁCHIRA,4,CÁRDENAS,JESUS DAVID PEREZ,Iniciativa Propia
TÁCHIRA,4,CÁRDENAS,ANGERSO CARRERO,ABP
TÁCHIRA,4,CÁRDENAS,EDGAR RAMIREZ,AD
TÁCHIRA,4,CÁRDENAS,JORGE MORA,MR
TÁCHIRA,4,CÁRDENAS,TULIO RODRÍGUEZ,PRVZL
TÁCHIRA,4,CÁRDENAS,PABLO COLMENARES,SI
TÁCHIRA,4,CÁRDENAS,RICARDO HERNANDEZ,UNPARVE
TÁCHIRA,4,CÁRDENAS,GERARDO CHACON,UNTC
TÁCHIRA,19,FERNÁNDEZ FEO,GREGORIO RAMIREZ,AD
TÁCHIRA,19,FERNÁNDEZ FEO,JAIME DUARTE RAMÍREZ,MPJ
TÁCHIRA,19,FERNÁNDEZ FEO,WILLANS MORALES,MR
TÁCHIRA,19,FERNÁNDEZ FEO,RENZO JAIMES,SI
TÁCHIRA,19,FERNÁNDEZ FEO,JUAN GONCALVEZ,UNPARVE
TÁCHIRA,19,FERNÁNDEZ FEO,JEANFRANCO CASADIEGO,UNTC
TÁCHIRA,11,GARCÍA DE HEVIA,JOSÉ HIVAN ROA,Iniciativa Propia
TÁCHIRA,11,GARCÍA DE HEVIA,ROMEL JESUS VARGAS,AD
TÁCHIRA,11,GARCÍA DE HEVIA,ANDRY RIVAS,COPEI
TÁCHIRA,11,GARCÍA DE HEVIA,HUMBERTO NIÑO,PODEMOS
TÁCHIRA,11,GARCÍA DE HEVIA,ALCIRES RODRÍGUEZ,UNTC
TÁCHIRA,12,GUÁSIMOS,HERNAN DELGADO,ABP
TÁCHIRA,12,GUÁSIMOS,ALEJANDRO CAÑA,AD
TÁCHIRA,12,GUÁSIMOS,BERNARD ZAMBRANO,MPJ
TÁCHIRA,12,GUÁSIMOS,ULIPERES CHACÓN Z,UNTC
TÁCHIRA,12,GUÁSIMOS,WILLIAM JOSÉ GALAVIS,VP
TÁCHIRA,3,INDEPENDENCIA,ALEXANDER ARCILA,Iniciativa Propia
TÁCHIRA,3,INDEPENDENCIA,ONESIMO DUARTE,Iniciativa Propia
TÁCHIRA,3,INDEPENDENCIA,HAYDEE USECHE,AD
TÁCHIRA,3,INDEPENDENCIA,ANAIDA DE ROA,COPEI
TÁCHIRA,5,JÁUREGUI,EDGAR SANCHEZ,Iniciativa Propia
TÁCHIRA,5,JÁUREGUI,ALBERTO LUBO SANCHEZ,Iniciativa Propia
TÁCHIRA,5,JÁUREGUI,HUGO QUIROZ,AD
TÁCHIRA,5,JÁUREGUI,ALEXIS DIAZ,COPEI
TÁCHIRA,5,JÁUREGUI,VICTOR SANCHEZ,MPJ
TÁCHIRA,5,JÁUREGUI,ALIRIO GUERRERO,PRVZL
TÁCHIRA,5,JÁUREGUI,ORLANDO CONTRERAS,UNTC
TÁCHIRA,25,JOSÉ MARÍA VARGAS,VICTOR GOMEZ,AD
TÁCHIRA,25,JOSÉ MARÍA VARGAS,JUAN CARLOS DUQUE,COPEI
TÁCHIRA,6,JUNÍN,JUAN PEÑALOZA,AD
TÁCHIRA,6,JUNÍN,YOBEL SANDOVAL,COPEI
TÁCHIRA,6,JUNÍN,CESAR OMAR MENDOZA,PPT
TÁCHIRA,6,JUNÍN,JESUS AMUNDARAY,UNTC
TÁCHIRA,20,LIBERTAD,GUSTAVO MONCADA,Iniciativa Propia
TÁCHIRA,20,LIBERTAD,GINET PARADA,AD
TÁCHIRA,20,LIBERTAD,ERASMO GOMEZ,COPEI
TÁCHIRA,20,LIBERTAD,FREDDY CUADROS,MPJ
TÁCHIRA,20,LIBERTAD,JORGE SAYAGO,PRVZL
TÁCHIRA,14,LIBERTADOR,EZEQUIEL PEREZ,AD
TÁCHIRA,14,LIBERTADOR,CARLOS URBINA,MPJ
TÁCHIRA,14,LIBERTADOR,ANASTACIO MARQUEZ,UNTC
TÁCHIRA,7,LOBATERA,ISRAEL NIÑO,AD
TÁCHIRA,7,LOBATERA,PABLO CHACON,COPEI
TÁCHIRA,26,RAFAEL URDANETA,ARCENIOBLANCO,AD
TÁCHIRA,26,RAFAEL URDANETA,ANA LIZCANO,COPEI
TÁCHIRA,26,RAFAEL URDANETA,BLANCA JAIMES,MPJ
TÁCHIRA,26,RAFAEL URDANETA,CARLOS ACEVEDO,UNTC
TÁCHIRA,26,SAMUEL MALDONADO,ALEJANDRO PRADA,Iniciativa Propia
TÁCHIRA,26,SAMUEL MALDONADO,FRANCISCO MARQUEZ,COPEI
TÁCHIRA,29,SAN JUDAS TADEO,CLARET GANDICA,COPEI
TÁCHIRA,29,SAN JUDAS TADEO,JUAN DE DIOS GUERRERO,MPJ
TÁCHIRA,22,SEBORUCO,JAVIER ARAQUE,AD
TÁCHIRA,22,SEBORUCO,NERO MARQUEZ,COPEI
TÁCHIRA,22,SEBORUCO,RAMON ELY PERNIA,PRVZL
TÁCHIRA,17,SUCRE,JUAN CARLOS MONCADA,COPEI
TÁCHIRA,17,SUCRE,YOSMER CEBALLOS,MPJ
TÁCHIRA,28,TORBES,GERARDO OSTOS,ABP
TÁCHIRA,28,TORBES,PEDRO VIVAS,AD
TÁCHIRA,28,TORBES,JULIO PABON,COPEI
TÁCHIRA,28,TORBES,FRANKLIN CHACON,MPJ
TÁCHIRA,28,TORBES,ALBERTO MALDONADO,VP
TÁCHIRA,9,URIBANTE,EDILIO ROA VALERO,Iniciativa Propia
TÁCHIRA,9,URIBANTE,LUIS ALETA,AD
TÁCHIRA,9,URIBANTE,FREDELINDO PERNIA,COPEI
TÁCHIRA,9,URIBANTE,OSWALDO MORENO,UNTC
TÁCHIRA,16,PEDRO MARÍA UREÑA,JULIO ROJAS,AD
TÁCHIRA,16,PEDRO MARÍA UREÑA,ALEJANDRO GARCÍA,CausaR
TÁCHIRA,16,PEDRO MARÍA UREÑA,JESÚS GUTIERREZ,COPEI
TÁCHIRA,16,PEDRO MARÍA UREÑA,URLEY JAIMES,PIEDRA
TÁCHIRA,16,PEDRO MARÍA UREÑA,GUSTAVO RANGEL,PODEMOS
TÁCHIRA,16,PEDRO MARÍA UREÑA,LUIS CRUZ,UNTC
TRUJILLO,5,TRUJILLO,LUISBRICEÑO,AD
TRUJILLO,5,TRUJILLO,ROGER CARRIZO,OPINA
TRUJILLO,5,TRUJILLO,TEO LARA,UNTC
TRUJILLO,5,TRUJILLO,IVAN RAGA GUBINELLI,VPA
TRUJILLO,2,BOCONÓ,VILMA RUIZ,COPEI
TRUJILLO,2,BOCONÓ,JUAN LUIS MARQUEZ,UNTC
TRUJILLO,8,CANDELARIA,CARLOS PEÑA,AD
TRUJILLO,8,CANDELARIA,JOSÉ OCHOA,UNTC
TRUJILLO,3,CARACHE,REINALDO CAÑIZALES,MPJ
TRUJILLO,3,CARACHE,ANA SOCORRO DELGADO,UNTC
TRUJILLO,9,MIRANDA,ACISCLO VILORIA,ABP
TRUJILLO,9,MIRANDA,MARCOS CORONADO,AD
TRUJILLO,9,MIRANDA,ROGER OCANTO,UNTC
TRUJILLO,10,MONTE CARMELO,GREGORIO RAMIREZ,AD
TRUJILLO,10,MONTE CARMELO,NELSON ABREU,UNTC
TRUJILLO,11,MOTATÁN,DOUGLAS ABREU,AD
TRUJILLO,11,MOTATÁN,ALEXISBLANCO,BR
TRUJILLO,11,MOTATÁN,GRACIELA  GONZALEZ,DSM
TRUJILLO,12,PAMPÁN,HERNAN CASTELLANOS,COPEI
TRUJILLO,12,PAMPÁN,ALCIDES VASQUEZ,MPJ
TRUJILLO,20,PAMPANITO,AMABILE VALERO,AD
TRUJILLO,20,PAMPANITO,REGULO VILORIA,MPJ
TRUJILLO,20,PAMPANITO,JORGE DURAN,UNTC
TRUJILLO,20,PAMPANITO,DANIEL CARRILLO,VPA
TRUJILLO,1,RAFAEL RANGEL,LUIS ROJAS,AD
TRUJILLO,1,RAFAEL RANGEL,GREGORIO HERNANDEZ,MPJ
TRUJILLO,1,RAFAEL RANGEL,YORBIN GARCIA,UNTC
TRUJILLO,1,RAFAEL RANGEL,JOSÉ GUERRERO,VPA
TRUJILLO,14,SUCRE,JOSÉ SERRANO,AD
TRUJILLO,14,SUCRE,GIOVANI DELGADO,MPJ
TRUJILLO,14,SUCRE,JOSÉ MESSINA,UNTC
TRUJILLO,6,URDANETA,JESUS QUINTERO,AD
TRUJILLO,6,URDANETA,EMMANUEL ESCALONA,COPEI
VARGAS,1,VARGAS,JOSÉBARRETO,AD
VARGAS,1,VARGAS,ALBERTO KAHWATY,COPEI
VARGAS,1,VARGAS,LUIS LOPEZ,PODEMOS
VARGAS,1,VARGAS,FABIOLA COLMENAREZ,VP
YARACUY,4,SAN FELIPE,YARISOL FIGUEIRA,AD
YARACUY,4,SAN FELIPE,JOSÉ DE LA CRUZ,CONVERGENCIA
YARACUY,4,SAN FELIPE,MIGUEL PONENTE,MPJ
YARACUY,4,SAN FELIPE,SERGIO MELENDEZ,VP
YARACUY,12,ARÍSTIDES BASTIDAS,MARISOL AZO,AD
YARACUY,12,ARÍSTIDES BASTIDAS,MIGUEL KALIFE,CONVERGENCIA
YARACUY,12,ARÍSTIDES BASTIDAS,PEDRO LOPEZ,MPJ
YARACUY,1,BOLÍVAR,ELIDO MENDOZA,AD
YARACUY,1,BOLÍVAR,OSWALDO LOPEZ,CONVERGENCIA
YARACUY,1,BOLÍVAR,BERNAIND CASTELLANO,MPJ
YARACUY,1,BOLÍVAR,OLGA LIDIA GOMEZ M.,VP
YARACUY,2,BRUZUAL,FREDDY PIRELA,ABP
YARACUY,2,BRUZUAL,ELOISA HERNANDEZ,AD
YARACUY,2,BRUZUAL,AMER DEVIEZ,CONVERGENCIA
YARACUY,2,BRUZUAL,ALFONSO ANDARA,COPEI
YARACUY,2,BRUZUAL,JOSÉ  FRANCO,UNTC
YARACUY,10,COCOROTE,ANGEL RUIZ,AD
YARACUY,10,COCOROTE,DANIEL CARIÑO,CONVERGENCIA
YARACUY,10,COCOROTE,EDWARD CAPDEVIELLE,MPJ
YARACUY,10,COCOROTE,GABRIEL GALLO,VP
YARACUY,11,INDEPENDENCIA,LINDA RAMIREZ,AD
YARACUY,11,INDEPENDENCIA,RAFAEL PARRABARRIOS,CONVERGENCIA
YARACUY,11,INDEPENDENCIA,LUIS PARRA,MPJ
YARACUY,11,INDEPENDENCIA,LENYN RODRÍGUEZ,PPT
YARACUY,11,INDEPENDENCIA,FRANCISCO FERRER,UNTC
YARACUY,9,LA TRINIDAD,JOSÉ TOVAR,ABP
YARACUY,9,LA TRINIDAD,CESAR PEREZ MARTINEZ,CONVERGENCIA
YARACUY,9,LA TRINIDAD,CARLOS AGOSTINI,MPJ
YARACUY,9,LA TRINIDAD,ENDERBOTELLO,UNTC
YARACUY,13,MANUEL MONGE,PABLO CONTRERAS,AD
YARACUY,13,MANUEL MONGE,ANA SERVET,CONVERGENCIA
YARACUY,13,MANUEL MONGE,PEDRO CABRERA,MPJ
YARACUY,13,MANUEL MONGE,JOSÉ CARUCI R.,UNTC
YARACUY,3,NIRGUA,ANA D' ANTONIO,CUENTAS CLARAS
YARACUY,3,NIRGUA,NORA MELENDEZ,PPT
YARACUY,3,NIRGUA,RICARDO MENDOZA,UNTC
YARACUY,7,PEÑA,OSWALDO LEAL,ABP
YARACUY,7,PEÑA,ARMANDOBARRETO,BR
YARACUY,7,PEÑA,FILIPPO LAPI,ELECT.DEBÓLIVAR
YARACUY,7,PEÑA,JUDITH YEPEZ,MPJ
YARACUY,7,PEÑA,YELITZA GONZALEZ,SI
YARACUY,5,SUCRE,MARIA ISABEL HERRERA,CONVERGENCIA
YARACUY,5,SUCRE,LEONARDO HERNANDEZ,MPJ
YARACUY,6,URACHICHE,DANIEL MONTOYA,CONVERGENCIA
YARACUY,6,URACHICHE,EMERSON VELASQUEZ,COPEI
YARACUY,6,URACHICHE,AMILCAR MENDOZA,MPJ
YARACUY,14,VEROES,RICARDO SANCHEZ,AD
YARACUY,14,VEROES,ALI SEQUERA,CausaR
YARACUY,14,VEROES,LEOSMARY ESPINOZA,COPEI
YARACUY,14,VEROES,TARCISIO GARCIA,VP
YARACUY,8,JOSÉ ANTONIO PÁEZ,CARLOS ASUAJE,AD
YARACUY,8,JOSÉ ANTONIO PÁEZ,NARCISO GOMEZ,CONVERGENCIA
YARACUY,8,JOSÉ ANTONIO PÁEZ,CARLOS TORRES,MPJ
ZULIA,17,ALMIRANTE PADILLA,DOGER MOLERO,COPEI
ZULIA,17,ALMIRANTE PADILLA,JHOVANY HERNANDEZ,OPINA
ZULIA,17,ALMIRANTE PADILLA,CARLOS HERNANDEZ,UNTC
ZULIA,1,BARALT,LEWIS COLINA,AD
ZULIA,1,BARALT,ANGEL CARIDAD,UNTC
ZULIA,3,COLÓN,ABELARDOBRACHO,AD
ZULIA,3,COLÓN,LEUDIS MONTIEL,MPJ
ZULIA,3,COLÓN,FREDDY PAZ,UNTC
ZULIA,3,COLÓN,JESUS  GUTIERREZ,VPA
ZULIA,20,FRANCISCO JAVIER PULGAR,DANIEL MUÑOZ,AD
ZULIA,20,FRANCISCO JAVIER PULGAR,FREDDY GOMEZ,UNTC
ZULIA,19,JESÚS MARÍA SEMPRÚN,FREDDY ROSALES,Iniciativa Propia
ZULIA,19,JESÚS MARÍA SEMPRÚN,TEOFILO DURÁN,Iniciativa Propia
ZULIA,19,JESÚS MARÍA SEMPRÚN,FRANCISCO GUIZZETTI,Iniciativa Propia
ZULIA,19,JESÚS MARÍA SEMPRÚN,ENDER SALAZAR,AD
ZULIA,19,JESÚS MARÍA SEMPRÚN,RODMAR  URDANETA,MPJ
ZULIA,19,JESÚS MARÍA SEMPRÚN,RICARDO NAVA,MR
ZULIA,8,MACHIQUES DE PERIJÁ,ALFONSO MÁRQUEZ,AD
ZULIA,8,MACHIQUES DE PERIJÁ,CLAUDIO PIZUORNO,UNTC
ZULIA,8,MACHIQUES DE PERIJÁ,ALBERTO CHACÍN,VPA
ZULIA,4,MARA,SALVADOR SPINELLO,AD
ZULIA,4,MARA,LEOVALDO VILLALOBOS,COPEI
ZULIA,6,FRANCISCO DE MIRANDA,WILFRIDO VALLES,AD
ZULIA,6,FRANCISCO DE MIRANDA,EDINSON NAVA,BR
ZULIA,6,FRANCISCO DE MIRANDA,FRANCISCO FARÍA,MIN UNIDAD
ZULIA,6,FRANCISCO DE MIRANDA,JOSÉ DOMINGO RAMIREZ,VP
ZULIA,7,GUAJIRA,JOSUÉ ACOSTA,Iniciativa Propia
ZULIA,7,GUAJIRA,FRANCISCO REINOSO,AD
ZULIA,7,GUAJIRA,ARCENIO J. RIOS G.,COPEI
ZULIA,7,GUAJIRA,AMILCAR JIMENEZ,MPJ
ZULIA,7,GUAJIRA,MANUEL CORREA,OPINA
ZULIA,7,GUAJIRA,XIOMARA MARTINEZ,UNTC
ZULIA,13,ROSARIO DE PERIJÁ,ELIO RONDÓN,Iniciativa Propia
ZULIA,13,ROSARIO DE PERIJÁ,ELY RAMON ATENCIO,AD
ZULIA,13,ROSARIO DE PERIJÁ,JOSÉ RENÉ SANDOVAL,MPJ
ZULIA,13,ROSARIO DE PERIJÁ,LUIS ANIBAL ROMERO,VPA
ZULIA,15,VALMORE RODRÍGUEZ,ENDER JOSÉ PINO,AD
ZULIA,15,VALMORE RODRÍGUEZ,LIGIA GIL,UNTC
