angle
10.4
3.7
3.7
2.7
2.2
11.9
6.5
5.2
14.4
15.5
3.9
3.3
5.9
7.8
5.9
7.8
1.2
0.2
13.7
12.5
5.2
4.9
10.6
14.2
4.1
4.7
11.8
15.7
2.8
5.4
11.7
1.1
3.4
2.6
27.5
28.5
0.2
16.6
9.9
12.4
8
5.2
1.2
3.7
3.6
5.3
11.3
3.6
5.4
1
22.2
25.3
0.9
1.8
10.8
9.4
0.9
2.7
3
6.8
0.4
7.9
3.3
0.8
9.7
13.9
4.3
4.9
8.1
4.6
2.7
3.4
11.3
8.4
3.7
11.1
13.9
12.3
1.5
4.3
5.4
2.7
4.7
5
4.7
8.7
12.5
11.4
7.1
5.9
7.3
5.8
11.1
11.3
0.5
1.6
0.2
1.5
23.8
23.2
4.5
4.8
0.1
1
16.2
14.6
17
15.8
7.6
5.8
11.2
4.8
8.9
9.1
12.8
14.8
8.8
13.2
4
7.4
15.1
19.4
0.9
3.2
3.5
4.5
4.4
7.6
9.4
7.5
5.9
5.4
16.2
19.7
4.6
6
18.5
11
9.3
9.3
6.1
16.8
0.3
4.9
3.3
0.8
12.7
16
0.6
4.3
8.5
3.6
2.1
9.6
11.8
15.3
5
8.9
7.2
3.2
9.4
7.8
0.3
10.7
1.9
3.2
9.4
6.7
5.6
8.2
11
11.1
5
1
8.9
7
1.2
1
15.8
15.3
8.7
8.9
0.7
0.5
9.8
9
4.2
3.7
3
3.9
14.5
14.7
17.4
8.1
8.6
11.5
8.5
18.6
1.9
2.4
