angle
1
5
0
2
1
10
9
3
2
2
8
2
2
1
2
3
7
3
4
14
0
9
5
14
2
6
1
1
7
4
5
5
7
4
1
4
4
9
3
11
5
8
5
4
5
6
1
5
2
7
3
1
3
7
9
2
1
2
9
13
11
5
5
13
5
5
3
1
7
7
3
4
1
1
8
1
0
2
6
3
18
11
5
0
3
7
1
1
2
3
1
0
2
4
1
10
5
4
8
3
