angle
9
8
1
8
2
4
0
3
3
9
1
14
4
4
18
6
11
10
6
10
0
9
4
2
12
15
2
8
5
8
12
8
4
0
4
5
3
4
5
8
9
3
5
2
13
2
4
9
7
5
2
2
16
11
15
21
1
4
6
13
2
0
10
2
14
14
1
12
9
1
1
16
13
5
5
1
1
1
6
10
15
4
2
6
15
12
5
2
1
8
6
5
9
7
3
0
5
1
15
7
