angle
2.6
2.8
3.2
6.8
4
5.8
1.8
3.7
6.5
6.1
7.6
10.5
10.6
7.6
2.1
2.1
4.1
5.7
10.5
5.7
5.5
5.3
4.3
1.7
7.5
4.1
8.7
8.6
2
4.8
2.4
2
6.4
8.9
0.4
0.5
0.8
3
1.1
7
5.8
1.8
11.5
13.6
8.5
13.6
19.8
23.4
0.8
1.1
11.6
4.9
11.4
8.8
4.9
1.8
7.1
3.8
11
11.6
10.7
11.8
0.8
3.6
12.7
12.5
4.8
1.4
0.2
0.1
4.2
4.9
6.8
6.9
18.7
18.7
4.6
10.8
5.4
5.6
5.2
4.2
1
0.5
1.5
1.4
11.8
1.1
3.8
0.3
9.1
8.8
5.6
1.9
1
5.4
8.9
14.7
5
6.1
1.9
2.2
2.3
0.8
3.8
3
4.1
0.2
8
8.6
5.2
0.7
16.3
10.7
9.4
12.8
2.4
4
12.6
2.9
12.3
16.8
7.3
5.4
4.4
6.5
4.4
6.8
0.4
0.1
3.3
5.1
13.9
9.9
11
11.5
1
2.3
16.2
15.9
4.1
8
8
8.4
8.6
4.4
10.9
8.4
2.8
0.2
6.5
5.8
2
0.8
2.2
5.2
1.1
4.2
0.8
2.6
5.7
8.4
0.8
0.5
4.4
8.2
0.8
2.2
5.7
9
4
3.1
4.3
3.2
5.9
4
17.4
14.3
6
0.7
6
9.1
7.2
4.2
16.7
11.1
6.8
0.2
11.9
13.6
25.8
27.9
0.7
0.7
3.6
7.4
6.9
3.9
1.3
4.1
