line,lat,long,county_name,position,income2011,income2000,stop_name,county,tract,tract_lookup
R,40.670387,-73.98848,Brooklyn,11,79444,57042,4 Ave.-9 St.,47,13700,013700
R,40.677171,-73.98302,Brooklyn,12,108409,57885,Union St.,47,13300,013300
R,40.683928,-73.978412,Brooklyn,13,87875,48024,Atlantic Ave.-Barclays Center,47,12901,012901
R,40.689817,-73.981082,Brooklyn,14,83688,45213,DeKalb Ave.,47,3300,003300
R,40.692315,-73.985172,Brooklyn,15,66023,34375,Jay St.-MetroTech,47,1500,001500
R,40.692548,-73.990099,Brooklyn,16,79231,29732,Court St.-Borough Hall,47,1100,001100
R,40.701938,-74.012588,Manhattan,17,124048,105456,Whitehall St.-South Ferry,61,900,000900
R,40.706345,-74.014,Manhattan,18,114412,81609,Rector St.,61,1300,001300
R,40.711065,-74.010644,Manhattan,19,114412,81609,Cortlandt St.,61,1300,001300
R,40.713521,-74.006697,Manhattan,20,135573,67361,City Hall,61,3100,003100
R,40.717823,-74.000326,Manhattan,21,135573,67361,Canal St.,61,3100,003100
R,40.72422,-73.997633,Manhattan,22,67449,45409,Prince St.,61,4300,004300
R,40.7303852442235,-73.9921824790154,Manhattan,23,139236,97765,8 St.-N.Y.U.,61,5700,005700
R,40.735184,-73.989793,Manhattan,24,109637,71734,14 St.-Union Square,61,5000,005000
R,40.741208,-73.989639,Manhattan,25,120766,85399,23 St.,61,5600,005600
R,40.745089,-73.988472,Manhattan,26,138750,68523,28 St.,61,5800,005800
R,40.749891,-73.987495,Manhattan,27,76659,41276,34 St.-Herald Square,61,7600,007600
R,40.754301,-73.986623,Manhattan,28,118487,47813,Times Square-42 St.,61,11300,011300
R,40.760454,-73.983388,Manhattan,29,125787,76099,49 St.,61,12500,012500
R,40.765639,-73.979764,Manhattan,30,131250,80934,57 St.-7 Ave.,61,13700,013700
R,40.764657,-73.972229,Manhattan,31,171000,108107,5 Ave.-59 St.,61,11401,011401
R,40.762255,-73.965918,Manhattan,32,104835,68417,Lexington Ave.-59 St.,61,11000,011000
R,40.749907,-73.937057,Queens,33,81731,37063,Queens Plaza,81,1900,001900
R,40.751868,-73.930585,Queens,34,55184,33819,36 St.,81,3100,003100
R,40.758279,-73.919433,Queens,35,36552,30903,Steinway St.,81,15700,015700
R,40.756868,-73.914303,Queens,36,57868,40665,46 St.,81,15300,015300
R,40.753428,-73.906847,Queens,37,68059,44231,Northern Blvd.,81,29500,029500
R,40.74933,-73.897382,Queens,38,58558,38438,65 St.,81,29300,029300
R,40.747238,-73.892146,Queens,39,53574,41639,Jackson Heights-Roosevelt Ave.,81,28900,028900
R,40.742937,-73.882708,Queens,40,42969,31733,Elmhurst Ave.,81,26902,026902
R,40.736277,-73.876424,Queens,41,55488,40604,Grand Ave.-Newtown,81,47300,047300
R,40.733555,-73.869588,Queens,42,53750,40205,Woodhaven Blvd.,81,68300,068300
R,40.730037,-73.861343,Queens,43,53667,39845,63 Dr.-Rego Park,81,71701,071701
R,40.727073,-73.853226,Queens,44,65886,46543,67 Ave.,81,71303,071303
R,40.721916,-73.844352,Queens,45,90286,55000,Forest Hills-71 Ave.,81,73900,073900
S,,,Brooklyn,1,0,0,,47,,
S,,,Brooklyn,2,0,0,,47,,
S,,,Brooklyn,3,0,0,,47,,
S,,,Brooklyn,4,0,0,,47,,
S,,,Brooklyn,5,0,0,,47,,
S,,,Brooklyn,6,0,0,,47,,
S,,,Brooklyn,7,0,0,,47,,
S,,,Brooklyn,8,0,0,,47,,
S,,,Brooklyn,9,0,0,,47,,
S,,,Brooklyn,10,0,0,,47,,
S,,,Brooklyn,11,0,0,,47,,
S,,,Brooklyn,12,0,0,,47,,
S,,,Brooklyn,13,0,0,,47,,
S,,,Brooklyn,14,0,0,,47,,
S,,,Brooklyn,15,0,0,,47,,
S,,,Brooklyn,16,0,0,,47,,
S,,,Queens,17,0,0,,81,,
S,,,Queens,18,0,0,,81,,
S,,,Queens,19,0,0,,81,,
S,,,Queens,20,0,0,,81,,
S,,,Queens,21,0,0,,81,,
S,,,Queens,22,0,0,,81,,
S,,,Brooklyn,23,0,0,,47,,
S,,,Brooklyn,24,0,0,,47,,
S,,,Brooklyn,25,0,0,,47,,
S,,,Brooklyn,26,0,0,,47,,
S,,,Brooklyn,27,0,0,,47,,
S,,,Brooklyn,28,0,0,,47,,
S,,,Brooklyn,29,0,0,,47,,
S,,,Brooklyn,30,0,0,,47,,
S,,,Manhattan,31,0,0,,61,,
S,,,Manhattan,32,0,0,,61,,
S,,,Manhattan,33,0,0,,61,,
S,,,Manhattan,34,0,0,,61,,
S,,,Manhattan,35,0,0,,61,,
S,,,Manhattan,36,0,0,,61,,
S,,,the Bronx,37,0,0,,5,,
S,,,the Bronx,38,0,0,,5,,
S,,,the Bronx,39,0,0,,5,,
S,,,the Bronx,40,0,0,,5,,
S,,,the Bronx,41,0,0,,5,,
S,,,the Bronx,42,0,0,,5,,
S,,,the Bronx,43,0,0,,5,,
S,,,the Bronx,44,0,0,,5,,
S,,,the Bronx,45,0,0,,5,,
S,,,the Bronx,46,0,0,,5,,
S,,,the Bronx,47,0,0,,5,,
Z,40.706911,-74.010494,Manhattan,1,125124,81071,Broad St.,61,700,000700
Z,40.711026,-74.00919,Manhattan,2,114412,81609,Fulton St.,61,1300,001300
Z,40.714199,-74.003187,Manhattan,3,135573,67361,Chambers St.,61,3100,003100
Z,40.717823,-74.000326,Manhattan,4,135573,67361,Canal St.,61,3100,003100
Z,40.720291,-73.993411,Manhattan,5,42775,25747,Bowery,61,1800,001800
Z,40.71841,-73.987181,Manhattan,6,29554,18984,Delancey St.-Essex St.,61,1402,001402
Z,40.708788,-73.958826,Brooklyn,7,16139,12069,Marcy Ave.,47,52500,052500
Z,40.696893,-73.935461,Brooklyn,8,23665,15714,Myrtle Ave.,47,28700,028700
Z,40.690142,-73.923062,Brooklyn,9,35000,21729,Gates Ave.,47,39700,039700
