gsa_building_no,address,city,state,zipcode,latitude,longitude,costar_number,bldg_rsf,total_leased_rsf,percent_govt_leased,total_annual_rent,rent_prsf,remaining_total_term,remaining_firm_term
NJ5035,22 SOUTH CLINTON AVE,TRENTON,NJ,08609-1212,40.220507,-74.755292,167858,85000.0,4720.0,5.55,91137.57,19.31,0.14,0.0
LA1373,4354 S SHERWOOD FOREST BLVD,BATON ROUGE,LA,70816-4476,30.414227,-91.051645,5752979,103000.0,9866.0,9.58,200016.03,20.27,0.14,0.14
MA5869,48 RESEARCH ROAD,FALMOUTH,MA,02536-4440,41.612343,-70.613393,5622978,4970.0,4970.0,100.0,154544.66,31.1,0.15,0.0
GA2743,3604 MACON ROAD,COLUMBUS,GA,31907-8218,32.488287,-84.932488,1166232,46544.0,10114.0,21.73,126291.22,12.49,0.15,0.0
NY7009,80 BROAD ST,NEW YORK-MANHATTAN,NY,10004-2209,40.704284,-74.011576,157177,410000.0,5223.0,1.27,150006.49,28.72,0.15,0.0
AK3371,3400 SHELL ST,FAIRBANKS,AK,99701-7245,64.814156,-147.771007,GSA,7200.0,7200.0,100.0,159894.51,22.21,0.16,0.16
AR1228,2887 NORTH POINT CIRCLE,FAYETTEVILLE,AR,72704-6809,36.104415,-94.178193,5988958,4809.0,4809.0,100.0,144972.96,30.15,0.16,0.0
AR1247,1520 RIVERFRONT DRIVE,LITTLE ROCK,AR,72202-1724,34.766474,-92.306021,6839389,165788.0,23495.0,14.17,534079.74,22.73,0.16,0.16
AZ7410,1633 SOUTH PLAZA WAY,FLAGSTAFF,AZ,86001-7102,35.18645434,-111.66775918,7546358,32013.0,3694.0,11.54,85439.37,23.13,0.16,0.0
CA7259,"3130 SKYWAY DRIVE,",SANTA MARIA,CA,93455-1843,34.902803,-120.449279,1372931,22350.0,6440.0,28.81,73692.33,11.44,0.16,0.0
CO2012,4847 PEARL STREET,BOULDER,CO,80302-6737,40.043234,-105.22311,6190798,18000.0,6500.0,36.11,108966.26,16.76,0.16,0.16
CT3319,2 LANDMARK SQUARE,STAMFORD,CT,06901-2405,41.055052,-73.537606,190590,36689.0,5773.0,15.73,161902.85,28.04,0.16,0.0
