id,createddatetime,postedtime,body,retweetcount,title,subtitle,summary,verb,userid,content,generator,geotype,language,favcount,urls,inreplyto,locationname,objecttype,nsale,provider,hashtags,expandedurl,kloutscore,rule,profilelocationtype,profilelocationlatitude,profilelocationlongitude,profilelocationcoordinates,kloutprofileid,profilelocationcountry,profilelocationlocality,profilelocationregion,id,displayname,followerscount,friendscount,listedcount,image,languages,link,locationdisplayname,preferredusername,statusescount,summary,twittertimezone,utcoffset,favoritescount
tag:search.twitter.com2005:376487303746949120,3000-01-01 00:00:00,2013-09-07 23:29:02,#FinalShow #MBfW @M_Lhuillier http://t.co/BJT2QmTBMz,0,"","","",post,id:twitter.com:31427395,"",Twitter for iPhone,"","",-1,http://t.co/BJT2QmTBMz ,"","",activity,f,Twitter,FinalShow;MBfW,"",54,"contains:""@m_lhuillier""",point,31.25044,-99.25061,,,United States,"",Texas,id:twitter.com:31427395,Christian Ramirez,1796,974,16,https://si0.twimg.com/profile_images/378800000139432153/3f57e782f19239f1fa83d5aff88ca164_normal.jpeg,en,http://www.twitter.com/CDRamirez,Texas,CDRamirez,3444,Actor-Model-Celebrity Fashion Stylist,Central Time (US & Canada),-18000,
tag:search.twitter.com2005:376487588753711104,3000-01-01 00:00:00,2013-09-07 23:30:10,RT @MBfashionweek: The bridal &amp; ready-to-wear talent @m_lhuillier #Spring2014 is streaming LIVE from the #MBFW runway to your screen: http:…,5,"","","",share,id:twitter.com:178804146,"",Twitter for iPhone,"",en,-1,http://t.co/meSy7k0W22 ,"","",activity,f,Twitter,Spring2014;MBFW,"",35,"contains:""@m_lhuillier""",point,38.62727,-90.19789,,,United States,St. Louis,Missouri,id:twitter.com:178804146,Nikki Young,1019,1996,8,https://si0.twimg.com/profile_images/2999379382/0069789d74e991d7fe7f830605b55b83_normal.jpeg,en,http://www.twitter.com/nikki_1dermom,St. Louis MO.,nikki_1dermom,6387,married mother of 4 former independant fashion designer working on owning my own consignment clothing store; being SUPER MOM who gives great style advise;(|),"",0,
tag:search.twitter.com2005:376488536851349504,3000-01-01 00:00:00,2013-09-07 23:33:56,#Monique Lhuillier #nyfw #mbfw http://t.co/xQYfGGyS1f,0,"","","",post,id:twitter.com:49846734,"",Instagram,"","",-1,http://t.co/xQYfGGyS1f ,"","",activity,f,Twitter,Monique;nyfw;mbfw,http://instagram.com/p/d-lBlKvvZX/ ,24,"""monique lhuillier""",point,40.71427,-74.00597,,,United States,New York City,New York,id:twitter.com:49846734,Marco,149,155,1,https://si0.twimg.com/profile_images/1131198248/noi.se_web5_normal.jpg,en,http://www.twitter.com/Marco_NYC,nyc,Marco_NYC,333,"",Quito,-18000,
tag:search.twitter.com2005:376488773099352064,3000-01-01 00:00:00,2013-09-07 23:34:52,#NYFW i heart the boots from the @RebeccaMinkoff Spring14 collection. Check them out! http://t.co/nV0kdkqqia  #MBFW,0,"","","",post,id:twitter.com:418908438,"",web,"",en,-1,http://t.co/nV0kdkqqia ,"","",activity,f,Twitter,NYFW;MBFW,http://goo.gl/FesS2V ,45,"contains:""@rebeccaminkoff""",point,51.50853,-0.12574,,,United Kingdom,London,England,id:twitter.com:418908438,urban beauty said,492,1018,3,https://si0.twimg.com/profile_images/3718733837/ce3050de3e70f2d64260452363c00de8_normal.png,en,http://www.twitter.com/urbanbeautysaid,london,urbanbeautysaid,2566,You`ll find all the latest trends beauty products celeb styles tried and tested products and a bit of celeb gossip thrown in for fun!,Casablanca,3600,
tag:search.twitter.com2005:376488946831990784,3000-01-01 00:00:00,2013-09-07 23:35:34,Gasp - Major Moment - @M_Lhuillier #mbfw http://t.co/ZCxkjiRS3n,0,"","","",post,id:twitter.com:21239274,"",Twitter for iPhone,"","",-1,http://t.co/ZCxkjiRS3n ,"","",activity,f,Twitter,mbfw,"",61,"contains:""@m_lhuillier""",point,40.71427,-74.00597,,,United States,New York City,New York,id:twitter.com:21239274,FashionistaNYC,7707,2649,261,https://si0.twimg.com/profile_images/2168478117/FDG-GOLD-180-on-black_normal.png,en,http://www.twitter.com/FashionistaNYC,NYC,FashionistaNYC,15817,Fashion Editor for The Examiner News and Blogger for Fashion Development Group. Social Media Junky and Certified Shopaholic.,Eastern Time (US & Canada),-14400,
tag:search.twitter.com2005:376489084178673664,3000-01-01 00:00:00,2013-09-07 23:36:07,RT @xoBetseyJohnson: MOVIE NIGHT! 🎬I`ve had a long week! Need to relax &amp; save energy for #mbfw Time 2 chilax in front of the tube!📺 Xox💋💋 h…,1,"","","",share,id:twitter.com:28802651,"",Twitter for iPhone,"",en,-1,"","","",activity,f,Twitter,mbfw,"",25,"""xobetseyjohnson""",point,40.71427,-74.00597,,,United States,New York City,New York,id:twitter.com:28802651,Mali Renée,161,420,0,https://si0.twimg.com/profile_images/344513261574411049/04150a8e8c2aa72992c23c34e80a476e_normal.jpeg,en,http://www.twitter.com/Jadore_Pynk,NYC,Jadore_Pynk,6102,#LifeintheFabLane,Quito,-18000,
tag:search.twitter.com2005:376489242420994048,3000-01-01 00:00:00,2013-09-07 23:36:44,RT @MBfashionweek: Really she`s amazing @m_lhuillier #Spring2014 #sneakpeek #backstage #MBFW #NYC http://t.co/250WMQj8uW,15,"","","",share,id:twitter.com:73963610,"",web,"",en,-1,http://t.co/250WMQj8uW ,"","",activity,f,Twitter,Spring2014;sneakpeek;backstage;MBFW;NYC,http://instagram.com/p/d-irPKHtOI/ ,33,"contains:""@m_lhuillier""",point,48.85341,2.3488,,,France,Paris,Île-de-France,id:twitter.com:73963610,Victoire Tran,96,770,2,https://si0.twimg.com/profile_images/2509051045/w33ax2x5s7v6dla0y3yl_normal.jpeg,en,http://www.twitter.com/VictoireTran,Paris,VictoireTran,4467,"",Paris,7200,
tag:search.twitter.com2005:376489271542435840,3000-01-01 00:00:00,2013-09-07 23:36:51,Lots of pink and oragne at @M_Lhuillier show ! #trend @ss14 #nyfw #mbfw  http://t.co/wIj5UscKzD,0,"","","",post,id:twitter.com:462746293,"",HootSuite,"",en,-1,http://t.co/wIj5UscKzD ,"","",activity,f,Twitter,trend;nyfw;mbfw,http://facesofnyfw.com/#entry/522bb84a73d14e02000019a7 ,58,"contains:""@m_lhuillier""",point,40.71427,-74.00597,,,United States,New York City,New York,id:twitter.com:462746293,Faces Of NYFW ™,2062,1787,38,https://si0.twimg.com/profile_images/3250671599/88466a30697eea39bae65dfd80102878_normal.jpeg,en,http://www.twitter.com/FONYFW,NYC,FONYFW,4731,The visual heartbeat of New York Fashion Week! AW13 presented & curated by @bentrovatomag. Tag #FONYFW on Twitter/Tumblr/Instagram. A @sociuslive production.,Eastern Time (US & Canada),-18000,
tag:search.twitter.com2005:376489867204919296,3000-01-01 00:00:00,2013-09-07 23:39:13,I just adore the @M_Lhuillier Spring 2014 collection. It was beautiful! #mbfw #nyfw,0,"","","",post,id:twitter.com:1049596494,"",Twitter for iPhone,"",en,-1,"","","",activity,f,Twitter,mbfw;nyfw,"",44,"contains:""@m_lhuillier""",point,25.77427,-80.19366,,,United States,Miami,Florida,id:twitter.com:1049596494,Akira ,148,376,3,https://si0.twimg.com/profile_images/3044921487/de176de5464ff76d92f11b7edadddb57_normal.jpeg,en,http://www.twitter.com/Phoenix_immer,Miami FL,Phoenix_immer,3943,Living every second that life has to offer. Always trying to smile and laugh. I love films books music family fashion and too many other things.,"",0,
tag:search.twitter.com2005:376490301012967424,3000-01-01 00:00:00,2013-09-07 23:40:57,RT @stylecartel: @M_Lhuillier #mbfw #ss14 https://t.co/AWX4BafPpa,1,"","","",share,id:twitter.com:20876378,"",web,"","",-1,https://t.co/AWX4BafPpa ,"","",activity,f,Twitter,mbfw;ss14,https://vine.co/v/hJ9QvnEHr2v ,40,"contains:""@m_lhuillier""",point,27.28644,-82.49676,,,United States,South Gate Ridge,Florida,id:twitter.com:20876378,MoneKnows,1338,1859,56,https://si0.twimg.com/profile_images/1935311271/Little_Devil_normal.JPG,en,http://www.twitter.com/Mone_Knows,South Florida ,Mone_Knows,28907,Simone Todd - Art Business Fashion Project MgmtCulture IT SMM Travel & More Blogger.  Former VP of Marketing for PMI South Florida,Eastern Time (US & Canada),-18000,
