"rfid_tag_id","location","antenna_port","action_type","content","product_style_id","product_name","customer_name","timestamp"
"ABBA00000000000000000155","iBeacon","1","leaderboardPush","","","","Ortiz Anita","2014-01-29T03:19:56.000Z"
"ABBA00000000000000000020","Dressing Room","2","leaderboardPush","","","","Brazell Joe","2014-01-29T03:20:01.000Z"
"ABBA00000000000000000090","Color Palette","3","leaderboardPush","","","","Holtrop Marti","2014-01-29T03:20:10.000Z"
"ABBA00000000000000000155","Dressing Room","2","leaderboardPush","","","","Ortiz Anita","2014-01-29T03:20:10.000Z"
"DD0000000000000000001384","Men's Dressing Room","1,2","urlPush","http://u2d2.com/p%{style_id}","3316772","Nike 'KO' Zip Hoodie","","2014-01-29T03:20:12.000Z"
"ABBA00000000000000000042","Dressing Room","2","leaderboardPush","","","","Copello Corinne","2014-01-29T03:20:14.000Z"
"ABBA00000000000000000006","Self Service Wall","4","leaderboardPush","","","","Armstrong Karyn","2014-01-29T03:20:16.000Z"
"ABBA00000000000000000051","Dressing Room","2","leaderboardPush","","","","Diamond Kevin","2014-01-29T03:20:18.000Z"
"ABBA00000000000000000006","Self Service Wall","4","leaderboardPush","","","","Armstrong Karyn","2014-01-29T03:20:19.000Z"
"ABBA00000000000000000056","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Drake Jennifer","2014-01-29T03:20:21.000Z"
"ABBA00000000000000000061","Dressing Room","2","leaderboardPush","","","","Egan Anne","2014-01-29T03:20:22.000Z"
"ABBA00000000000000000114","Self Service Wall","4","leaderboardPush","","","","Kovacs Jenn","2014-01-29T03:20:26.000Z"
"ABBA00000000000000000061","Dressing Room","2","leaderboardPush","","","","Egan Anne","2014-01-29T03:20:28.000Z"
"DD0000000000000000001384","Men's Dressing Room","1,2","urlPush","http://u2d2.com/p%{style_id}","3316772","Nike 'KO' Zip Hoodie","","2014-01-29T03:20:28.000Z"
"DD00000000000000000012EF","Men's Dressing Room","1,2","urlPush","http://u2d2.com/p%{style_id}","3606430","The North Face 'Logo - International Collection' Screenprint T-Shirt","","2014-01-29T03:20:30.000Z"
"ABBA00000000000000000003","Smart Shelf","1","leaderboardPush","","","","Anderson Cathy","2014-01-29T03:20:43.000Z"
"DD0000000000000000001382","Men's Dressing Room","1,2","urlPush","http://u2d2.com/p%{style_id}","3340798","Under Armour 'Micro' HeatGear™ Knit Shorts","","2014-01-29T03:20:46.000Z"
"ABBA00000000000000000079","Smart Shelf","1","leaderboardPush","","","","Guillen Mylinda","2014-01-29T03:20:50.000Z"
"ABBA00000000000000000166","iBeacon Far Field","3,4","mobilePush","Looking for the right fit? Use our Zella fit guide to find the perfect pair for whatever keeps you moving.  http://shop.nordstrom.com/c/zella-pant-fit-guide","","","Price Kerry","2014-01-29T03:20:53.000Z"
"DD0000000000000000001384","Men's Dressing Room","1,2","urlPush","http://u2d2.com/p%{style_id}","3316772","Nike 'KO' Zip Hoodie","","2014-01-29T03:20:57.000Z"
"ABBA00000000000000000138","Shop My Store","2","leaderboardPush","","","","Meiser Janet","2014-01-29T03:20:59.000Z"
"ABBA00000000000000000090","Smart Shelf","1","leaderboardPush","","","","Holtrop Marti","2014-01-29T03:21:06.000Z"
"DD0000000000000000001387","Women's Dressing Room","3,4","urlPush","http://u2d2.com/p%{style_id}","3491447","Zella 'Prism' Jacket","","2014-01-29T03:21:06.000Z"
"DD0000000000000000001382","Men's Dressing Room","1,2","urlPush","http://u2d2.com/p%{style_id}","3340798","Under Armour 'Micro' HeatGear™ Knit Shorts","","2014-01-29T03:21:12.000Z"
"DD0000000000000000001384","Men's Dressing Room","1,2","urlPush","http://u2d2.com/p%{style_id}","3316772","Nike 'KO' Zip Hoodie","","2014-01-29T03:21:13.000Z"
