StationName	LINE_ID	Line	Title	Color	stop_lon	stop_lat	ROUTE	TERMINUS	WkdyEntry
Yawkey	FramComm03	Commuter Rail	Framingham/Worcester	B4D0D8	-71.10417524	42.34825531
Newtonville	FramComm04	Commuter Rail	Framingham/Worcester	B4D0D8	-71.20702426	42.35140319
West Newton	FramComm05	Commuter Rail	Framingham/Worcester	B4D0D8	-71.23133525	42.34781697
Auburndale	FramComm06	Commuter Rail	Framingham/Worcester	B4D0D8	-71.25029007	42.34589089
Wellesley Farms	FramComm07	Commuter Rail	Framingham/Worcester	B4D0D8	-71.27206344	42.32364164
Wellesley Hills	FramComm08	Commuter Rail	Framingham/Worcester	B4D0D8	-71.276864	42.31098173
Wellesley Square	FramComm09	Commuter Rail	Framingham/Worcester	B4D0D8	-71.29494726	42.29718526
Natick	FramComm10	Commuter Rail	Framingham/Worcester	B4D0D8	-71.34827378	42.28560588
West Natick	FramComm11	Commuter Rail	Framingham/Worcester	B4D0D8	-71.39145373	42.28320544
Framingham	FramComm12	Commuter Rail	Framingham/Worcester	B4D0D8	-71.41680545	42.27703652
Ashland	FramComm13	Commuter Rail	Framingham/Worcester	B4D0D8	-71.47612216	42.26096013
Southborough	FramComm14	Commuter Rail	Framingham/Worcester	B4D0D8	-71.52384475	42.2671418
Westborough	FramComm15	Commuter Rail	Framingham/Worcester	B4D0D8	-71.64860083	42.26926792
Grafton	FramComm16	Commuter Rail	Framingham/Worcester	B4D0D8	-71.68461428	42.24712683
Worcester	FramComm17	Commuter Rail	Framingham/Worcester	B4D0D8	-71.79463671	42.26100831
JFK/UMass	GreenComm00	Commuter Rail	Greenbush	B4D0D8	-71.05216105	42.32072589
Quincy Center	GreenComm01	Commuter Rail	Greenbush	B4D0D8	-71.00564054	42.25208703
Weymouth Landing/East Braintree	GreenComm02	Commuter Rail	Greenbush	B4D0D8	-70.96696471	42.22186591
E. Weymouth	GreenComm03	Commuter Rail	Greenbush	B4D0D8	-70.92171885	42.21939939
West Hingham	GreenComm04	Commuter Rail	Greenbush	B4D0D8	-70.9029583	42.23464428
Nantasket Junction	GreenComm05	Commuter Rail	Greenbush	B4D0D8	-70.86831923	42.24494709
Cohasset	GreenComm06	Commuter Rail	Greenbush	B4D0D8	-70.83813342	42.2442976
North Scituate	GreenComm07	Commuter Rail	Greenbush	B4D0D8	-70.78646699	42.21903646
Greenbush	GreenComm08	Commuter Rail	Greenbush	B4D0D8	-70.74675404	42.17823967
North Station	HavComm01	Commuter Rail	Haverhill	B4D0D9	-71.05998294	42.36514376
Malden Center	HavComm02	Commuter Rail	Haverhill	B4D0D8	-71.07431522	42.42658098
Wyoming Hill	HavComm03	Commuter Rail	Haverhill	B4D0D8	-71.06931279	42.45202698
