name	lat	lon	address	city
Joe's Market	42.233918	-83.614201	454 S Huron St	Ypsilanti
7-Eleven	42.230872	-83.644686	2200 Ellsworth Rd	Ypsilanti
GNC	42.229296	-83.647091	2327 Ellsworth Rd	Ypsilanti
ROSE MARKET	42.229586	-83.645097	2243 Ellsworth Rd	Ypsilanti
Dairy Mart	42.221391	-83.618296	1767 S Huron St	Ypsilanti
Meijer	42.239624	-83.766111	3145 Ann Arbor-Saline Rd	Ann Arbor
Busch's	42.253567	-83.751479	2240 S Main St	Ann Arbor
Great Harvest Bread	42.253722	-83.750112	2220 S Main St	Ann Arbor
Quality Japanese Food Inc	42.253311	-83.749986	2276 S Main St	Ann Arbor
The Produce Station	42.258955	-83.739953	1629 S State St	Ann Arbor
Biercamp	42.2585	-83.740072	1643 S State St	Ann Arbor
Kroger	42.25988	-83.73683	1919 S Industrial Hwy	Ann Arbor
Menu Magic Food	42.261751	-83.722284	2012 Shadford Rd	Ann Arbor
Golam Produce Market	42.245296	-83.699391	3150 Packard St	Ann Arbor
Makkara Sushi & Japanese Grocery	42.244749	-83.699479	3014 Packard Rd	Ann Arbor
GFS Marketplace	42.233366	-83.681016	3800 Carpenter Rd	Ypsilanti
Meijer	42.233343	-83.677326	3825 Carpenter Rd	Ypsilanti
Yogi Groceries	42.230186	-83.67908	4015 Carpenter Rd	Ypsilanti
Circle K	42.215249	-83.618793	1767 S Huron St	Ypsilanti
Kroger	42.212099	-83.620626	2010 Whittaker Rd	Ypsilanti
GNC	42.216867	-83.540203	2059 Rawsonville Rd	Belleville
Willow Run Food Market	42.218079	-83.522588	49365 S Interstate 94 Service Dr	Belleville
Meijer	42.232209	-83.4825	9701 Belleville Rd	Belleville
Walmart Supercenter	42.225958	-83.487443	10562 Belleville Rd	Belleville
Lodi Food Mart	42.196399	-83.79635	6135 Saline Ann Arbor Rd	Saline
Health Market International	42.212266	-83.772032	5118 Oak Hill Ct	Ann Arbor
GNC	42.242886	-83.746637	800 Briarwood Cir	Ann Arbor
Williams-Sonoma	42.242312	-83.743922	808 Briarwood Cir	Ann Arbor
Zingerman's Mail Order	42.232001	-83.728428	610 Phoenix Dr	Ann Arbor
New Organics	42.23095	-83.72609	3990 Varsity Dr	Ann Arbor
Mediterranean Market	42.229223	-83.719423	4019 Stone School Rd	Ann Arbor
Hyundai Asian Market	42.230927	-83.698498	3893 Platt Rd	Ann Arbor
TCCHOMEBIZ.com	42.194683	-83.610474	6204 Whittaker Rd	Ypsilanti
Hong Far Food Services	42.215672	-83.677526	4100 Morgan Rd	Ypsilanti
Coleman's Farm Market	42.208988	-83.67784	5415 W Michigan Ave	Ypsilanti
Rowe's Produce Farm	42.180799	-83.551034	10570 Martz Rd	Ypsilanti Township
Better Health Store	42.22343	-83.487115	10792 Belleville Rd	Belleville
Busch's Fresh Food Market	42.171921	-83.769933	565 E Michigan Ave	Saline
GNC	42.177581	-83.759883	1321 E Michigan Ave	Saline
Walmart Vision Center (inside Walmart)	42.1856	-83.7377	7000 E Michigan Ave	Saline
Belleville Five Point Mini Mrt	42.204891	-83.485961	25 Main St	Belleville
Huron River Market	42.205248	-83.485057	31 E Huron River Dr	Belleville
Country Farms Supermarket	42.15752	-83.541922	9090 Rawsonville Rd	Belleville
B & A Fish & Seafood Market	42.195137	-83.484373	837 Sumpter Rd	Belleville
Speedy Food Mart	42.175155	-83.482374	17441 Sumpter Rd	Belleville
