"id","lens"
"X.1",7
"X.2",1
"X.3",13
"X.4",1
"X.5",2
"X.6",24
"X.7",3
"X.8",8
"X.9",23
"X.10",4
"X.11",5
"X.12",12
"X.13",23
"X.14",22
"X.15",19
